iter	Passed	Remaining
407	4725	6855
408	4735	6842
409	4746	6829
410	4755	6814
411	4764	6800
412	4775	6787
413	4788	6777
414	4799	6764
415	4809	6751
416	4818	6737
417	4829	6724
418	4839	6710
419	4851	6699
420	4862	6688
421	4876	6679
422	4888	6668
423	4900	6657
424	4910	6643
425	4921	6631
426	4932	6619
427	4945	6609
428	4955	6595
429	4966	6584
430	4979	6573
431	4990	6562
432	5002	6550
433	5012	6537
434	5023	6524
435	5032	6510
436	5043	6497
437	5052	6483
438	5063	6470
439	5074	6458
440	5088	6449
441	5101	6439
442	5115	6431
443	5128	6421
444	5140	6411
445	5151	6399
446	5165	6390
447	5179	6381
448	5193	6373
449	5205	6361
450	5216	6350
451	5228	6338
452	5240	6328
453	5253	6318
454	5266	6308
455	5278	6297
456	5291	6287
457	5304	6277
458	5316	6266
459	5329	6256
460	5341	6245
461	5351	6231
462	5363	6221
463	5375	6210
464	5388	6200
465	5399	6187
466	5411	6176
467	5424	6166
468	5435	6154
469	5447	6143
470	5460	6133
471	5473	6123
472	5486	6113
473	5500	6103
474	5513	6093
475	5525	6082
476	5535	6069
477	5548	6058
478	5559	6047
479	5572	6036
480	5585	6026
481	5596	6015
482	5609	6004
483	5620	5991
484	5632	5980
485	5643	5968
486	5655	5957
487	5669	5948
488	5682	5938
489	5693	5926
490	5703	5912
491	5714	5900
492	5726	5889
493	5737	5876
494	5749	5865
495	5763	5856
496	5775	5845
497	5787	5834
498	5800	5823
499	5813	5813
500	5825	5802
501	5838	5792
502	5850	5781
503	5862	5769
504	5873	5756
505	5886	5746
506	5899	5737
507	5914	5728
508	5927	5717
509	5937	5704
510	5948	5692
511	5961	5682
512	5973	5670
513	5983	5657
514	5997	5648
515	6009	5636
516	6021	5625
517	6032	5613
518	6043	5601
519	6055	5589
520	6065	5576
521	6079	5566
522	6090	5554
523	6101	5542
524	6115	5532
525	6128	5522
526	6139	5510
527	6151	5498
528	6161	5486
529	6173	5474
530	6184	5462
531	6195	5449
532	6205	5437
533	6216	5424
534	6226	5411
535	6236	5398
536	6246	5385
537	6256	5372
538	6266	5359
539	6278	5347
540	6289	5335
541	6300	5323
542	6310	5311
543	6319	5297
544	6332	5286
545	6344	5275
546	6355	5263
547	6365	5250
548	6378	5239
549	6390	5228
550	6400	5215
551	6412	5204
552	6423	5191
