iter	RMSE
137	1602.731611
138	1601.990814
139	1600.989747
140	1599.415346
141	1597.940024
142	1597.194463
143	1596.404319
144	1595.690747
145	1594.866277
146	1594.153069
147	1593.457318
148	1592.719361
149	1591.505348
150	1590.354464
151	1589.4854
152	1588.973745
153	1587.978006
154	1587.463533
155	1586.736717
156	1585.986578
157	1585.577662
158	1584.589852
159	1583.808272
160	1583.055134
161	1582.399124
162	1581.752187
163	1580.723978
164	1579.352677
165	1578.876083
166	1578.392248
167	1578.056356
168	1577.389601
169	1576.627986
170	1575.724073
171	1575.077508
172	1574.421049
173	1573.898122
174	1573.255425
175	1572.89209
176	1572.318858
177	1571.344745
178	1570.618003
179	1569.970034
180	1569.481004
181	1568.856222
182	1567.803256
183	1567.358008
184	1566.827572
185	1565.66909
186	1565.136029
187	1564.433123
188	1563.203142
189	1562.516884
190	1561.955254
191	1561.531198
192	1560.805799
193	1560.412823
194	1559.861783
195	1559.405137
196	1558.816399
197	1558.168583
198	1557.743092
199	1557.143577
200	1556.332912
201	1556.041525
202	1555.727374
203	1555.044886
204	1554.407934
205	1553.571657
206	1553.059144
207	1552.304796
208	1551.669322
209	1551.200593
210	1550.846706
211	1550.269977
212	1549.852364
213	1549.304904
214	1548.870499
215	1548.431882
216	1547.803014
217	1547.129444
218	1546.298379
219	1545.839939
220	1545.390607
221	1544.706995
222	1544.375014
223	1544.00141
224	1543.62567
225	1543.072637
226	1542.819133
227	1542.487437
228	1542.181454
229	1541.514856
230	1541.219149
231	1540.731301
232	1540.443713
233	1539.875189
234	1539.501309
235	1539.116098
236	1538.447482
237	1538.115853
238	1537.655781
239	1537.070949
240	1536.606444
241	1536.262662
242	1535.568074
243	1534.982188
244	1534.463634
245	1533.967405
246	1533.774126
247	1533.180998
248	1532.902664
249	1532.38652
250	1531.769334
251	1531.27567
252	1530.74734
253	1530.335835
254	1529.848123
255	1529.232589
256	1528.962773
257	1528.397712
258	1528.051936
259	1527.518704
260	1527.191551
261	1526.727493
262	1526.207182
263	1525.539564
264	1525.055278
265	1524.847314
266	1524.460766
267	1524.261493
268	1523.845637
269	1523.494882
270	1523.079809
271	1522.729042
272	1522.405668
273	1521.950725
274	1521.42043
275	1521.067693
276	1520.758687
277	1520.242726
278	1520.055551
279	1519.829709
280	1519.507596
281	1518.917696
282	1518.739018
283	1518.357703
284	1517.805474
285	1517.578231
286	1517.162446
287	1516.576108
288	1516.221112
289	1515.803791
290	1515.497592
291	1515.024137
292	1514.647434
293	1514.234623
294	1513.883131
295	1513.485115
296	1513.246767
297	1512.883631
298	1512.422902
299	1512.015269
300	1511.561658
301	1511.320396
302	1510.908385
303	1510.623172
304	1510.475176
305	1509.997529
306	1509.71987
307	1509.51179
308	1509.187241
309	1508.819785
310	1508.472394
311	1508.040131
312	1507.652379
313	1507.371171
314	1506.939438
315	1506.556588
316	1506.139841
317	1505.739947
318	1505.48199
319	1505.051052
320	1504.813935
321	1504.625717
322	1504.342753
323	1503.952711
324	1503.750965
325	1503.485033
326	1503.017507
327	1502.800549
328	1502.508897
329	1502.038169
330	1501.839719
331	1501.541453
332	1501.309888
333	1500.979888
334	1500.708863
335	1500.556101
336	1500.069866
337	1499.886076
338	1499.586762
339	1499.386477
340	1499.043085
341	1498.859298
342	1498.423364
343	1498.098067
344	1497.779514
345	1497.584136
346	1497.305267
347	1496.987899
348	1496.69467
349	1496.255787
350	1495.908081
351	1495.532763
352	1495.151731
353	1494.900705
354	1494.757917
355	1494.681112
356	1494.584036
357	1494.262659
358	1494.015368
359	1493.803692
360	1493.642449
361	1493.333397
362	1492.992445
363	1492.519286
364	1492.403603
365	1492.15902
366	1492.136089
367	1491.825886
368	1491.634816
369	1491.41734
370	1491.121947
371	1490.944466
372	1490.642365
373	1490.075416
374	1489.834726
375	1489.646428
376	1489.424664
377	1489.075506
378	1488.737039
379	1488.474714
380	1488.244721
381	1487.935726
382	1487.799952
383	1487.464172
384	1487.184921
385	1486.888468
386	1486.75605
387	1486.518201
388	1486.161723
389	1485.970562
390	1485.815688
391	1485.475297
392	1485.297839
393	1484.900671
394	1484.567162
395	1484.336458
396	1484.082987
397	1483.8573
398	1483.454413
399	1483.20215
400	1483.136518
401	1482.901972
402	1482.661311
403	1482.441728
404	1482.21432
405	1481.982507
406	1481.705475
407	1481.462566
408	1481.262747
409	1481.113319
410	1480.872811
411	1480.709506
412	1480.368555
413	1480.186485
414	1479.822146
415	1479.559042
416	1479.357025
417	1479.163042
418	1478.883033
419	1478.64056
420	1478.329418
421	1478.055891
422	1477.768481
423	1477.408398
424	1477.226999
425	1476.867832
426	1476.530158
427	1476.264765
428	1476.19994
429	1475.841214
430	1475.635477
431	1475.49265
432	1475.276282
433	1474.981135
434	1474.592716
435	1474.294725
436	1473.999941
437	1473.844524
438	1473.562692
439	1473.312458
440	1473.089962
441	1472.820557
442	1472.605477
443	1472.432931
444	1472.119157
445	1471.877601
446	1471.571397
447	1471.309515
448	1471.046312
449	1470.835375
450	1470.596988
451	1470.235713
452	1469.957191
453	1469.640674
454	1469.417097
455	1469.126597
456	1468.977923
457	1468.757927
458	1468.532599
459	1468.328359
460	1467.942851
461	1467.746656
462	1467.465106
463	1467.265799
464	1467.075806
465	1466.922843
466	1466.611252
467	1466.202655
468	1466.02851
469	1465.758396
470	1465.552257
471	1465.382997
472	1465.111309
473	1464.939193
474	1464.752736
475	1464.479154
476	1464.253455
477	1464.048895
478	1463.846641
479	1463.540084
480	1463.256911
481	1463.02596
482	1462.947434
483	1462.751362
484	1462.553539
485	1462.363825
486	1462.12435
487	1461.934737
488	1461.575345
489	1461.429397
490	1461.264381
491	1461.065843
492	1460.893274
493	1460.633467
494	1460.362458
495	1460.167906
496	1459.9245
497	1459.759108
498	1459.488372
499	1459.31065
500	1458.977727
501	1458.818984
502	1458.569938
503	1458.273242
504	1458.130426
505	1457.829067
506	1457.587464
507	1457.325185
508	1457.123936
509	1456.894079
510	1456.740832
511	1456.686889
512	1456.404847
513	1456.236392
514	1455.68234
515	1455.495234
516	1455.328489
517	1455.04689
518	1454.844766
519	1454.557834
520	1454.301501
521	1454.126372
522	1453.993879
523	1453.684292
524	1453.568062
525	1453.390177
526	1453.251221
527	1453.067303
528	1452.940203
529	1452.822988
530	1452.647415
531	1452.400176
532	1452.274294
533	1452.13679
534	1451.912317
535	1451.644804
536	1451.52679
537	1451.262722
538	1451.114056
539	1450.746234
540	1450.575973
541	1450.44913
542	1450.327664
543	1450.218311
544	1449.959478
545	1449.76824
546	1449.516264
547	1449.344076
548	1449.096677
549	1448.840579
550	1448.627279
551	1448.416249
552	1448.152684
553	1447.924915
554	1447.777434
555	1447.509213
556	1447.317777
557	1447.164774
558	1446.847492
559	1446.667788
560	1446.520756
561	1446.345411
562	1446.230629
563	1446.069288
564	1445.849065
565	1445.747697
566	1445.36953
567	1445.174319
568	1444.894437
569	1444.740851
570	1444.556878
571	1444.347666
572	1444.22478
573	1444.110024
574	1443.964588
575	1443.785784
576	1443.640758
577	1443.234746
578	1443.019557
579	1442.907127
580	1442.725914
581	1442.574478
582	1442.440021
583	1442.291202
584	1442.167117
585	1442.05272
586	1441.903224
587	1441.745406
588	1441.618279
589	1441.468095
590	1441.371099
591	1441.21637
592	1440.97334
593	1440.822598
594	1440.574843
595	1440.290659
596	1440.174463
597	1439.89543
598	1439.72396
599	1439.487821
600	1439.343429
601	1439.224052
602	1439.108441
603	1438.961952
604	1438.69401
605	1438.482289
606	1438.373294
607	1438.31638
608	1438.079717
609	1437.943322
610	1437.722332
611	1437.569959
612	1437.340827
613	1437.067424
614	1436.747405
615	1436.607659
616	1436.50294
617	1436.282868
618	1436.155283
619	1435.933887
620	1435.71664
621	1435.488371
622	1435.351351
623	1435.230956
624	1435.007523
625	1434.872702
626	1434.67262
627	1434.565957
628	1434.432511
629	1434.299298
630	1434.053092
631	1433.835474
632	1433.479404
633	1433.244957
634	1433.065441
635	1432.913522
636	1432.680354
637	1432.560078
638	1432.438765
639	1432.081657
640	1431.873455
641	1431.638734
642	1431.405726
643	1431.266945
644	1431.047156
645	1430.887955
646	1430.675043
647	1430.526659
648	1430.343437
649	1430.171533
650	1430.047117
651	1429.90454
652	1429.72037
653	1429.456619
654	1429.34277
655	1429.191965
656	1429.046215
657	1428.85401
658	1428.614005
659	1428.474524
660	1428.287157
661	1428.200966
662	1428.08441
663	1427.889672
664	1427.67321
665	1427.562043
666	1427.496775
667	1427.380013
668	1427.208335
669	1427.033849
670	1426.847178
671	1426.665644
672	1426.476244
673	1426.279906
674	1425.781602
675	1425.638762
676	1425.487212
677	1425.401859
678	1425.319921
679	1425.145082
680	1424.999307
681	1424.92491
682	1424.714452
683	1424.526915
684	1424.394146
685	1424.249761
686	1424.060894
687	1423.959771
688	1423.817855
689	1423.685073
690	1423.376265
691	1423.237158
692	1423.114982
693	1422.93335
694	1422.843839
695	1422.753245
696	1422.564938
697	1422.349269
698	1422.223547
699	1422.047049
700	1421.875255
701	1421.754143
702	1421.669995
703	1421.561389
704	1421.368204
705	1421.271183
706	1421.153112
707	1421.000159
708	1420.818656
709	1420.61967
710	1420.394553
711	1420.195689
712	1420.068796
713	1419.922596
714	1419.66934
715	1419.539793
716	1419.443115
717	1419.288569
718	1419.110007
719	1418.928638
720	1418.731431
721	1418.627891
722	1418.492431
723	1418.233943
724	1418.121265
725	1417.994606
726	1417.822669
727	1417.723175
728	1417.601662
729	1417.409296
730	1417.300603
731	1417.187093
732	1417.06418
733	1416.927958
734	1416.786422
735	1416.623914
736	1416.483995
737	1416.39201
738	1416.263137
739	1416.175782
740	1416.047819
741	1415.928488
742	1415.7687
743	1415.640013
744	1415.485135
745	1415.338751
746	1415.205634
747	1415.102397
748	1414.960551
749	1414.868902
750	1414.706543
751	1414.61229
752	1414.465817
753	1414.359401
754	1414.207119
755	1413.994001
756	1413.873249
757	1413.559632
758	1413.431534
759	1413.227406
760	1413.085493
761	1412.925765
762	1412.717197
763	1412.538405
764	1412.455072
765	1412.220428
766	1412.055295
767	1411.86936
768	1411.732476
769	1411.532754
770	1411.421831
771	1411.310196
772	1411.194357
773	1411.046646
774	1410.944988
775	1410.826384
776	1410.625015
777	1410.475798
778	1410.352814
779	1410.251319
780	1410.056054
781	1409.950848
782	1409.735192
783	1409.583761
784	1409.442158
785	1409.307268
786	1409.235822
787	1409.102221
788	1408.992297
789	1408.869947
790	1408.70147
791	1408.549417
792	1408.471781
793	1408.314223
794	1408.185391
795	1408.0337
796	1407.816921
797	1407.605045
798	1407.499511
799	1407.423991
800	1407.278774
801	1407.198561
802	1407.13574
803	1407.047555
804	1406.979775
805	1406.854172
806	1406.693637
807	1406.602331
808	1406.42224
809	1406.195206
810	1406.010962
811	1405.763571
812	1405.662104
813	1405.540832
814	1405.454115
815	1405.35721
816	1405.250355
817	1405.069453
818	1404.857796
819	1404.67772
820	1404.513835
821	1404.371723
822	1404.192417
823	1403.96921
824	1403.811847
825	1403.64762
826	1403.530178
827	1403.317257
828	1403.16884
829	1403.007053
830	1402.920042
831	1402.578785
832	1402.411669
833	1402.287541
834	1402.122409
835	1401.961677
836	1401.868375
837	1401.733832
838	1401.590856
839	1401.424871
840	1401.287579
841	1401.180453
842	1401.044374
843	1400.859652
844	1400.747096
845	1400.656742
846	1400.488202
847	1400.405236
848	1400.282028
849	1400.158669
850	1400.050888
851	1399.866289
852	1399.682465
853	1399.499545
854	1399.355143
855	1399.190622
856	1399.093616
857	1399.006478
858	1398.80125
859	1398.619543
860	1398.540807
861	1398.430233
862	1398.344377
863	1398.197483
864	1398.016355
865	1397.888687
866	1397.789436
867	1397.635651
868	1397.51238
869	1397.39032
870	1397.263386
871	1397.182368
872	1397.004685
873	1396.913795
874	1396.752576
875	1396.615524
876	1396.53391
877	1396.440971
878	1396.341034
879	1396.280043
880	1396.208097
881	1395.962494
882	1395.870269
883	1395.697895
884	1395.549017
885	1395.428433
886	1395.327529
887	1395.156588
888	1395.044166
889	1394.910865
890	1394.706591
891	1394.507752
892	1394.313625
893	1394.152258
894	1394.049976
895	1393.914259
896	1393.829565
897	1393.717414
898	1393.569709
899	1393.364577
900	1393.162444
901	1392.992874
902	1392.80378
903	1392.682055
904	1392.515785
905	1392.421898
906	1392.323623
907	1392.205075
908	1391.985868
909	1391.875332
910	1391.763523
911	1391.611024
912	1391.464836
913	1391.326491
914	1391.186717
915	1391.106674
916	1390.998388
917	1390.88741
918	1390.710184
919	1390.576157
920	1390.408264
921	1390.288827
922	1390.219573
923	1390.089728
924	1389.96944
925	1389.92327
926	1389.829443
927	1389.666758
928	1389.537822
929	1389.401652
930	1389.257668
931	1389.172201
932	1389.071793
933	1388.920143
934	1388.809556
935	1388.682934
936	1388.587057
937	1388.468141
938	1388.387087
939	1388.180496
940	1388.074938
941	1387.987577
942	1387.778159
943	1387.7221
944	1387.581953
945	1387.463232
946	1387.230073
947	1387.112775
948	1386.932812
949	1386.831511
950	1386.709063
951	1386.558353
952	1386.468275
953	1386.404218
954	1386.312412
955	1386.213089
956	1386.054696
957	1385.946369
958	1385.829492
959	1385.743312
960	1385.635344
961	1385.494017
962	1385.302343
963	1385.181546
964	1385.118169
965	1385.032649
966	1384.873856
967	1384.802522
968	1384.638849
969	1384.531927
970	1384.436749
971	1384.280931
972	1384.205027
973	1384.130264
974	1384.017612
975	1383.897343
976	1383.832208
977	1383.74575
978	1383.593236
979	1383.466336
980	1383.401862
981	1383.30082
982	1383.180613
983	1383.025097
984	1382.982802
985	1382.865522
986	1382.778534
987	1382.648109
988	1382.490402
989	1382.398874
990	1382.333141
991	1382.189668
992	1382.1253
993	1381.959121
994	1381.896687
995	1381.677718
996	1381.570909
997	1381.484307
998	1381.340288
999	1381.208614
